Questionnaire,Item,Label,Reverse,Dimension,Description,Category
News,1,3.2,0,Fake,Foreign workers who have been quarantined are currently not being paid their salaries.,Belief
News,1,3.2,0,Fake,Foreign workers who have been quarantined are currently not being paid their salaries.,Familiarity
News,1,3.2,0,Fake,Foreign workers who have been quarantined are currently not being paid their salaries.,Importance
News,2,3.3,0,Fake,Contact tracing is now out of control: Singapore government can no longer trace the source of infection.,Belief
News,2,3.3,0,Fake,Contact tracing is now out of control: Singapore government can no longer trace the source of infection.,Familiarity
News,2,3.3,0,Fake,Contact tracing is now out of control: Singapore government can no longer trace the source of infection.,Importance
News,3,3.4,0,Fake,Ministry of Manpower says employers are at fault for dirty foreign dormitories.,Belief
News,3,3.4,0,Fake,Ministry of Manpower says employers are at fault for dirty foreign dormitories.,Familiarity
News,3,3.4,0,Fake,Ministry of Manpower says employers are at fault for dirty foreign dormitories.,Importance
News,4,3.5,0,Fake,"Student returned from overseas placed on SHN, but sneaked out clubbing before testing positive.",Belief
News,4,3.5,0,Fake,"Student returned from overseas placed on SHN, but sneaked out clubbing before testing positive.",Familiarity
News,4,3.5,0,Fake,"Student returned from overseas placed on SHN, but sneaked out clubbing before testing positive.",Importance
News,5,3.6,0,Fake,The coronavirus was intentionally developed in a laboratory.,Belief
News,5,3.6,0,Fake,The coronavirus was intentionally developed in a laboratory.,Familiarity
News,5,3.6,0,Fake,The coronavirus was intentionally developed in a laboratory.,Importance
News,6,3.7,0,Fake,The consumption of exotic wild animals led to the coronavirus outbreak.,Belief
News,6,3.7,0,Fake,The consumption of exotic wild animals led to the coronavirus outbreak.,Familiarity
News,6,3.7,0,Fake,The consumption of exotic wild animals led to the coronavirus outbreak.,Importance
News,7,3.8,0,Fake,Parcels from China can spread the coronavirus.,Belief
News,7,3.8,0,Fake,Parcels from China can spread the coronavirus.,Familiarity
News,7,3.8,0,Fake,Parcels from China can spread the coronavirus.,Importance
News,8,3.9,0,Fake,It has been confirmed that pets can spread the coronavirus.,Belief
News,8,3.9,0,Fake,It has been confirmed that pets can spread the coronavirus.,Familiarity
News,8,3.9,0,Fake,It has been confirmed that pets can spread the coronavirus.,Importance
News,9,3.1,0,Fake,COVID-19 hidden danger: Reinfection after having recovered proved to be even deadlier.,Belief
News,9,3.1,0,Fake,COVID-19 hidden danger: Reinfection after having recovered proved to be even deadlier.,Familiarity
News,9,3.1,0,Fake,COVID-19 hidden danger: Reinfection after having recovered proved to be even deadlier.,Importance
News,10,3.11,0,Fake,Drinking warm water helps prevent COVID-19 as stomach acid kills virus.,Belief
News,10,3.11,0,Fake,Drinking warm water helps prevent COVID-19 as stomach acid kills virus.,Familiarity
News,10,3.11,0,Fake,Drinking warm water helps prevent COVID-19 as stomach acid kills virus.,Importance
News,11,3.12,0,Fake,The cure for virus is already known but not produced on a large scale.,Belief
News,11,3.12,0,Fake,The cure for virus is already known but not produced on a large scale.,Familiarity
News,11,3.12,0,Fake,The cure for virus is already known but not produced on a large scale.,Importance
News,12,3.13,0,Real,COVID-19 collapse exceeds any recession in the last 150 years.,Belief
News,12,3.13,0,Real,COVID-19 collapse exceeds any recession in the last 150 years.,Familiarity
News,12,3.13,0,Real,COVID-19 collapse exceeds any recession in the last 150 years.,Importance
News,13,3.14,0,Real,Tourists in India forced to write ‘sorry’ 500 times over coronavirus lockdown breach.,Belief
News,13,3.14,0,Real,Tourists in India forced to write ‘sorry’ 500 times over coronavirus lockdown breach.,Familiarity
News,13,3.14,0,Real,Tourists in India forced to write ‘sorry’ 500 times over coronavirus lockdown breach.,Importance
News,14,3.15,0,Real,World Health Organization calls for honest leadership from US and China regarding COVID-19.,Belief
News,14,3.15,0,Real,World Health Organization calls for honest leadership from US and China regarding COVID-19.,Familiarity
News,14,3.15,0,Real,World Health Organization calls for honest leadership from US and China regarding COVID-19.,Importance
News,15,3.16,0,Real,Beijing tightens grip over research on the origins of the novel coronavirus.,Belief
News,15,3.16,0,Real,Beijing tightens grip over research on the origins of the novel coronavirus.,Familiarity
News,15,3.16,0,Real,Beijing tightens grip over research on the origins of the novel coronavirus.,Importance
News,16,3.17,0,Real,Many seniors still shop for groceries at markets despite PM Lee urging them to stay home.,Belief
News,16,3.17,0,Real,Many seniors still shop for groceries at markets despite PM Lee urging them to stay home.,Familiarity
News,16,3.17,0,Real,Many seniors still shop for groceries at markets despite PM Lee urging them to stay home.,Importance
News,17,3.18,0,Real,"Jail terms, fines for those who breach COVID-19 measures in Singapore.",Belief
News,17,3.18,0,Real,"Jail terms, fines for those who breach COVID-19 measures in Singapore.",Familiarity
News,17,3.18,0,Real,"Jail terms, fines for those who breach COVID-19 measures in Singapore.",Importance
News,18,3.19,0,Real,The coronavirus can spread beyond 1.5m if a carrier is exercising outdoors.,Belief
News,18,3.19,0,Real,The coronavirus can spread beyond 1.5m if a carrier is exercising outdoors.,Familiarity
News,18,3.19,0,Real,The coronavirus can spread beyond 1.5m if a carrier is exercising outdoors.,Importance
News,19,3.2,0,Real,N95 masks are more effective than surgical masks at protecting healthy individuals from being infected.,Belief
News,19,3.2,0,Real,N95 masks are more effective than surgical masks at protecting healthy individuals from being infected.,Familiarity
News,19,3.2,0,Real,N95 masks are more effective than surgical masks at protecting healthy individuals from being infected.,Importance
News,20,3.21,0,Real,Recovered COVID-19 patients in Singapore to donate blood for plasma therapy treatment.,Belief
News,20,3.21,0,Real,Recovered COVID-19 patients in Singapore to donate blood for plasma therapy treatment.,Familiarity
News,20,3.21,0,Real,Recovered COVID-19 patients in Singapore to donate blood for plasma therapy treatment.,Importance
News,21,3.22,0,Real,Being young and healthy does not protect you from developing a serious COVID-19 infection.,Belief
News,21,3.22,0,Real,Being young and healthy does not protect you from developing a serious COVID-19 infection.,Familiarity
News,21,3.22,0,Real,Being young and healthy does not protect you from developing a serious COVID-19 infection.,Importance
News,22,3.23,0,Real,"The virus can potentially infect anybody, regardless of age, sex or race.",Belief
News,22,3.23,0,Real,"The virus can potentially infect anybody, regardless of age, sex or race.",Familiarity
News,22,3.23,0,Real,"The virus can potentially infect anybody, regardless of age, sex or race.",Importance
CMQ,1,6.2,0,,"I think that many very important things happen in the world, which the public is never informed about.",
CMQ,2,6.3,0,,I think that politicians usually do not tell us the true motives for their decisions.,
CMQ,3,6.4,0,,I think that government agencies closely monitor all citizens.,
CMQ,4,6.5,0,,I think that events which superficially seem to lack a connection are often the result of secret activities.,
CMQ,5,6.6,0,,I think there are secret organizations that greatly influence political decisions.,
PBS,1,7.2,0,Religious_Belief,The soul continues to exist though the body may die.,
PBS,2,7.3,0,Psi,Some individuals are able to levitate (lift) objects through mental forces.,
