Questionnaire,Item,Label,Reverse,Dimension,Description,Category
News,1,Q76,0,fake,Police responds to lockdown street party in the UK,Belief
News,1,Q76,0,fake,Police responds to lockdown street party in the UK,Familiarity
News,1,Q76,0,fake,Police responds to lockdown street party in the UK,Importance
News,2,Q77,0,fake,The first volunteer to take part in a UK vaccine trial had died.,Belief
News,2,Q77,0,fake,The first volunteer to take part in a UK vaccine trial had died.,Familiarity
News,2,Q77,0,fake,The first volunteer to take part in a UK vaccine trial had died.,Importance
News,3,Q78,0,fake,Changes introduced in UK law give the government the power to enforce vaccinations as a result of the coronavirus outbreak ,Belief
News,3,Q78,0,fake,Changes introduced in UK law give the government the power to enforce vaccinations as a result of the coronavirus outbreak ,Familiarity
News,3,Q78,0,fake,Changes introduced in UK law give the government the power to enforce vaccinations as a result of the coronavirus outbreak ,Importance
News,4,Q79,0,fake,Coronavirus is caused by radiation emitted from 5G towers,Belief
News,4,Q79,0,fake,Coronavirus is caused by radiation emitted from 5G towers,Familiarity
News,4,Q79,0,fake,Coronavirus is caused by radiation emitted from 5G towers,Importance
News,5,Q80,0,fake,The coronavirus was intentionally developed in a laboratory.,Belief
News,5,Q80,0,fake,The coronavirus was intentionally developed in a laboratory.,Familiarity
News,5,Q80,0,fake,The coronavirus was intentionally developed in a laboratory.,Importance
News,6,Q81,0,fake,The consumption of exotic wild animals led to the coronavirus outbreak.,Belief
News,6,Q81,0,fake,The consumption of exotic wild animals led to the coronavirus outbreak.,Familiarity
News,6,Q81,0,fake,The consumption of exotic wild animals led to the coronavirus outbreak.,Importance
News,7,Q82,0,fake,Parcels from China can spread the coronavirus.,Belief
News,7,Q82,0,fake,Parcels from China can spread the coronavirus.,Familiarity
News,7,Q82,0,fake,Parcels from China can spread the coronavirus.,Importance
News,8,Q83,0,fake,It has been confirmed that pets can spread the coronavirus.,Belief
News,8,Q83,0,fake,It has been confirmed that pets can spread the coronavirus.,Familiarity
News,8,Q83,0,fake,It has been confirmed that pets can spread the coronavirus.,Importance
News,9,Q84,0,fake,Reinfection after having recovered proved to be even deadlier.,Belief
News,9,Q84,0,fake,Reinfection after having recovered proved to be even deadlier.,Familiarity
News,9,Q84,0,fake,Reinfection after having recovered proved to be even deadlier.,Importance
News,10,Q85,0,fake,Drinking warm water helps prevent COVID-19 as stomach acid kills virus. -,Belief
